state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac,state_population,state_area_sq_miles
Alabama,,,,,,4903185,52420
Alaska,3.0,2280.0,345.0,4.0,580.0,731545,665384
Arizona,2.0,1577.0,237.0,6.0,80.0,7278717,113990
Arkansas,,,,,,3017804,53179
California,21.0,25948.0,2738.0,81.0,587.0,39512223,163695
Colorado,22.0,43682.0,3258.0,74.0,428.0,5758736,104094
Connecticut,5.0,358.0,353.0,10.0,256.0,3565278,5543
Delaware,,,,,,973764,2489
Florida,,,,,,21477737,65758
Georgia,,,,,,10617423,59425
Hawaiʻi,,,,,,1415872,10932
Idaho,12.0,16396.0,1136.0,27.0,415.0,1787065,83569
Illinois,4.0,191.0,221.0,6.0,191.0,12671821,57914
Indiana,2.0,165.0,157.0,4.0,165.0,6732219,36420
Iowa,3.0,140.0,100.0,5.0,140.0,3155070,56273
Kansas,,,,,,2913314,82278
Kentucky,,,,,,4467673,40408
Louisiana,,,,,,4648794,52378
Maine,9.0,3216.0,865.0,17.0,388.0,1344212,35380
Maryland,1.0,172.0,121.0,3.0,118.0,6045680,12406
Massachusetts,11.0,1166.0,671.0,18.0,583.0,6892503,10554
Michigan,28.0,4406.0,2389.0,63.0,1946.0,9986857,96714
Minnesota,14.0,1560.0,1490.0,29.0,1020.0,5639632,86936
Mississippi,,,,,,2976149,48432
Missouri,2.0,60.0,69.0,2.0,47.0,6137428,69707
Montana,12.0,21410.0,951.0,27.0,710.0,1068778,147040
Nebraska,,,,,,1934408,77348
Nevada,4.0,2110.0,415.0,9.0,0.0,3080156,110572
New Hampshire,16.0,3427.0,1847.0,43.0,376.0,1359711,9349
New Jersey,2.0,190.0,170.0,4.0,181.0,8882190,8723
New Mexico,9.0,5223.0,966.0,18.0,50.0,2096829,121590
New York,33.0,5514.0,2384.0,72.0,2836.0,19453561,54555
North Carolina,6.0,370.0,506.0,9.0,335.0,10488084,53819
North Dakota,,,,,,762062,70698
Ohio,5.0,421.0,489.0,12.0,421.0,11689100,44826
Oklahoma,,,,,,3956971,69899
Oregon,10.0,11774.0,1180.0,22.0,1127.0,4217737,98379
Pennsylvania,19.0,1888.0,1404.0,47.0,1528.0,12801989,46054
Rhode Island,1.0,30.0,100.0,1.0,30.0,1059361,1545
South Carolina,,,,,,5148714,32020
South Dakota,2.0,950.0,183.0,3.0,0.0,884659,77116
Tennessee,1.0,0.0,83.0,1.0,0.0,6829174,42144
Texas,,,,,,28995881,268596
Utah,13.0,30508.0,1544.0,26.0,642.0,3205958,84897
Vermont,15.0,7239.0,1777.0,50.0,50.0,623989,9616
Virginia,4.0,269.0,366.0,4.0,135.0,8535519,42775
Washington,10.0,15330.0,1022.0,21.0,1997.0,7614893,71298
West Virginia,4.0,542.0,342.0,9.0,187.0,1792147,24230
Wisconsin,15.0,1750.0,1519.0,40.0,1065.0,5822434,65496
Wyoming,8.0,6523.0,716.0,14.0,110.0,578759,97813
